A,B,C,D
-3590.00,6637426.43,8922123.14,14166519.23
-3610.00,6637426.43,8922123.14,14166519.23
-3610.00,6637426.43,8922123.14,17735814.59
-3620.00,6637426.43,8922123.14,14166519.23
-3630.00,6637426.43,8922123.14,14166519.23
-3360.00,6637426.43,8922123.14,14166519.23
-3390.00,6637426.43,8922123.14,14166519.23
-3390.00,6637426.43,8922123.14,14166519.23
-3390.00,6637426.43,8922123.14,14166519.23
-3440.00,6637426.43,8922123.14,14166519.23
-3450.00,6637426.43,8922123.14,14166519.23
-3460.00,6637426.43,8922123.14,17735814.59
-3530.00,6637426.43,8922123.14,14166519.23
-3550.00,6637426.43,8922123.14,14166519.23
-3570.00,6637426.43,8922123.14,14166519.23
-3570.00,6637426.43,8922123.14,14166519.23
-4000.00,6637426.43,8922123.14,14166519.23
-3740.00,6637426.43,8922123.14,14166519.23
-3890.00,6637426.43,8922123.14,14166519.23
-3900.00,6637426.43,8922123.14,14166519.23
-3910.00,6637426.43,34260952.84,17735814.59
-3920.00,6637426.43,8922123.14,14166519.23
-3960.00,6637426.43,8922123.14,14166519.23
-3710.00,6637426.43,8922123.14,14166519.23
-3710.00,6637426.43,8922123.14,14166519.23
-3720.00,6637426.43,8922123.14,14166519.23
-3720.00,6637426.43,8922123.14,14166519.23
-3750.00,6637426.43,8922123.14,14166519.23
-3770.00,6637426.43,8922123.14,14166519.23
-3780.00,6637426.43,34260952.84,17735814.59
-3800.00,6637426.43,8922123.14,14166519.23
-3810.00,6637426.43,8922123.14,14166519.23
-3870.00,6637426.43,8922123.14,14166519.23
-3870.00,6637426.43,8922123.14,14166519.23
-4290.00,6637426.43,8922123.14,14166519.23
-4030.00,6637426.43,8922123.14,14166519.23
-4210.00,6637426.43,8922123.14,14166519.23
-4250.00,6637426.43,22840635.23,14166519.23
-4260.00,6637426.43,34260952.84,17735814.59
-4270.00,6637426.43,8922123.14,14166519.23
-4280.00,6637426.43,8922123.14,14166519.23
-4000.00,6637426.43,8922123.14,14166519.23
-4010.00,6637426.43,8922123.14,14166519.23
-4010.00,6637426.43,8922123.14,14166519.23
-4020.00,6637426.43,8922123.14,14166519.23
-4050.00,6637426.43,8922123.14,14166519.23
-4070.00,6637426.43,8922123.14,14166519.23
-4100.00,6637426.43,34260952.84,17735814.59
-4140.00,6637426.43,22840635.23,14166519.23
-4160.00,6637426.43,8922123.14,14166519.23
-4180.00,6637426.43,8922123.14,14166519.23
-4180.00,6637426.43,8922123.14,14166519.23
-4600.00,6637426.43,8922123.14,14166519.23
-4400.00,6637426.43,8922123.14,14166519.23
-4490.00,6637426.43,8922123.14,14166519.23
-4500.00,6637426.43,22840635.23,14166519.23
-4540.00,6637426.43,34260952.84,17735814.59
-4560.00,6637426.43,8922123.14,14166519.23
-4600.00,6637426.43,22840635.23,14166519.23
-4320.00,6637426.43,8922123.14,14166519.23
-4320.00,6637426.43,8922123.14,14166519.23
-4340.00,6637426.43,8922123.14,14166519.23
-4380.00,6637426.43,8922123.14,14166519.23
-4400.00,6637426.43,22840635.23,14166519.23
-4410.00,6637426.43,8922123.14,14166519.23
-4420.00,6637426.43,34260952.84,17735814.59
-4420.00,6637426.43,22840635.23,14166519.23
-4430.00,6637426.43,8922123.14,14166519.23
-4450.00,6637426.43,8922123.14,14166519.23
-4450.00,6637426.43,8922123.14,14166519.23
-4960.00,6637426.43,8922123.14,14166519.23
-4700.00,6637426.43,8922123.14,14166519.23
-4810.00,6637426.43,8922123.14,14166519.23
-4840.00,6637426.43,22840635.23,14166519.23
-4840.00,6637426.43,34260952.84,17735814.59
-4890.00,6637426.43,22840635.23,14166519.23
-4910.00,6637426.43,22840635.23,14166519.23
-4620.00,6637426.43,8922123.14,14166519.23
-4630.00,6637426.43,8922123.14,14166519.23
-4650.00,6637426.43,8922123.14,14166519.23
-4690.00,6637426.43,8922123.14,14166519.23
-4700.00,6637426.43,22840635.23,14166519.23
-4710.00,6637426.43,22840635.23,14166519.23
-4730.00,6637426.43,34260952.84,17735814.59
-4730.00,6637426.43,22840635.23,14166519.23
-4740.00,6637426.43,8922123.14,14166519.23
-4800.00,6637426.43,8922123.14,14166519.23
-4800.00,6637426.43,8922123.14,14166519.23
-5230.00,7592442.17,8922123.14,14166519.23
-5030.00,6637426.43,8922123.14,14166519.23
-5170.00,7592442.17,8922123.14,14166519.23
-5190.00,6637426.43,22840635.23,14166519.23
-5190.00,6637426.43,0.00,17735814.59
-5190.00,6637426.43,22840635.23,14166519.23
-5210.00,7592442.17,22840635.23,14166519.23
-4960.00,6637426.43,8922123.14,14166519.23
-4970.00,6637426.43,8922123.14,14166519.23
-5000.00,6637426.43,8922123.14,14166519.23
-5000.00,6637426.43,8922123.14,14166519.23
-5040.00,6637426.43,22840635.23,14166519.23
-5040.00,6637426.43,22840635.23,14166519.23
-5070.00,6637426.43,0.00,17735814.59
-5100.00,6637426.43,22840635.23,14166519.23
-5110.00,6637426.43,8922123.14,14166519.23
-5120.00,6637426.43,8922123.14,14166519.23
-5120.00,6637426.43,8922123.14,14166519.23
-5550.00,7592442.17,8922123.14,14166519.23
-5280.00,6637426.43,8922123.14,14166519.23
-5480.00,7592442.17,8922123.14,14166519.23
-5500.00,6637426.43,22840635.23,14166519.23
-5510.00,7592442.17,0.00,17735814.59
-5520.00,7592442.17,22840635.23,14166519.23
-5540.00,7592442.17,22840635.23,14166519.23
-5240.00,6637426.43,8922123.14,14166519.23
-5240.00,6637426.43,22840635.23,14166519.23
-5250.00,6637426.43,22840635.23,14166519.23
-5280.00,6637426.43,8922123.14,14166519.23
-5300.00,6637426.43,22840635.23,14166519.23
-5370.00,7592442.17,22840635.23,14166519.23
-5380.00,7592442.17,0.00,17735814.59
-5410.00,7592442.17,22840635.23,14166519.23
-5430.00,6637426.43,8922123.14,14166519.23
-5440.00,7592442.17,8922123.14,14166519.23
-5460.00,7592442.17,8922123.14,14166519.23
-5880.00,7592442.17,8922123.14,14166519.23
-5630.00,7592442.17,8922123.14,14166519.23
-5790.00,7592442.17,22840635.23,14166519.23
-5790.00,7592442.17,0.00,14166519.23
-5810.00,9704760.70,0.00,17735814.59
-5840.00,7592442.17,22840635.23,14166519.23
-5850.00,7592442.17,22840635.23,14166519.23
-5560.00,7592442.17,8922123.14,14166519.23
-5590.00,7592442.17,22840635.23,14166519.23
-5590.00,7592442.17,22840635.23,14166519.23
-5610.00,7592442.17,8922123.14,14166519.23
-5650.00,7592442.17,22840635.23,14166519.23
-5700.00,7592442.17,22840635.23,14166519.23
-5700.00,7592442.17,0.00,17735814.59
-5720.00,7592442.17,0.00,14166519.23
-5720.00,7592442.17,8922123.14,14166519.23
-5760.00,7592442.17,8922123.14,14166519.23
-5780.00,7592442.17,8922123.14,14166519.23
-6210.00,7592442.17,8922123.14,14166519.23
-5970.00,7592442.17,22840635.23,14166519.23
-6040.00,7592442.17,22840635.23,14166519.23
-6070.00,7592442.17,54648004.21,14166519.23
-6070.00,7592442.17,100652701.63,17735814.59
-6110.00,7592442.17,22840635.23,14166519.23
-6150.00,7592442.17,47119962.81,14166519.23
-5890.00,7592442.17,8922123.14,14166519.23
-5910.00,9704760.70,22840635.23,14166519.23
-5950.00,7592442.17,22840635.23,14166519.23
-5960.00,7592442.17,22840635.23,14166519.23
-5970.00,7592442.17,47119962.81,14166519.23
-5980.00,7592442.17,47119962.81,14166519.23
-5990.00,7592442.17,100652701.63,17735814.59
-5990.00,7592442.17,54648004.21,14166519.23
-6020.00,7592442.17,8922123.14,14166519.23
-6030.00,7592442.17,8922123.14,14166519.23
-6040.00,7592442.17,8922123.14,14166519.23
-6520.00,9704760.70,8922123.14,14166519.23
-6280.00,7592442.17,22840635.23,14166519.23
-6390.00,7592442.17,22840635.23,14166519.23
-6390.00,7592442.17,62733678.30,14166519.23
-6440.00,7592442.17,111526539.20,17735814.59
-6440.00,9704760.70,47119962.81,14166519.23
-6510.00,9704760.70,54648004.21,14166519.23
-6250.00,9704760.70,22840635.23,14166519.23
-6270.00,7592442.17,22840635.23,14166519.23
-6270.00,7592442.17,22840635.23,14166519.23
-6270.00,7592442.17,22840635.23,14166519.23
-6310.00,7592442.17,54648004.21,14166519.23
-6330.00,7592442.17,54648004.21,14166519.23
-6340.00,7592442.17,111526539.20,17735814.59
-6360.00,7592442.17,62733678.30,14166519.23
-6380.00,7592442.17,22840635.23,14166519.23
-6380.00,7592442.17,8922123.14,14166519.23
-6380.00,7592442.17,8922123.14,14166519.23
-6840.00,7592442.17,8922123.14,14166519.23
-6620.00,7592442.17,22840635.23,14166519.23
-6780.00,7592442.17,22840635.23,14166519.23
-6780.00,7592442.17,71376985.09,14166519.23
-6790.00,7592442.17,120700000.00,17735814.59
-6820.00,8156769.65,62733678.30,14166519.23
-6830.00,7592442.17,62733678.30,14166519.23
-6550.00,7592442.17,22840635.23,14166519.23
-6580.00,7592442.17,22840635.23,14166519.23
-6610.00,7592442.17,22840635.23,14166519.23
-6620.00,7592442.17,22840635.23,14166519.23
-6630.00,9704760.70,62733678.30,14166519.23
-6650.00,11215421.95,62733678.30,14166519.23
-6660.00,7592442.17,120700000.00,17735814.59
-6660.00,7592442.17,71376985.09,14166519.23
-6680.00,7592442.17,22840635.23,14166519.23
-6700.00,7592442.17,8922123.14,14166519.23
-6760.00,7592442.17,8922123.14,14166519.23
-7210.00,8495908.76,8922123.14,14166519.23
-6940.00,7592442.17,22840635.23,14166519.23
-7170.00,7592442.17,22840635.23,14166519.23
-7170.00,8495908.76,80577924.57,14166519.23
-7180.00,8495908.76,134900000.00,17735814.59
-7190.00,8862179.00,62733678.30,14166519.23
-7210.00,9704760.70,62733678.30,14166519.23
-6840.00,9704760.70,22840635.23,14166519.23
-6900.00,8495908.76,22840635.23,14166519.23
-6900.00,7592442.17,22840635.23,14166519.23
-6930.00,7592442.17,22840635.23,14166519.23
-7030.00,7592442.17,62733678.30,14166519.23
-7030.00,11215421.95,62733678.30,14166519.23
-7040.00,7592442.17,134900000.00,17735814.59
-7090.00,7592442.17,80577924.57,14166519.23
-7110.00,8495908.76,22840635.23,14166519.23
-7120.00,7592442.17,22840635.23,14166519.23
-7130.00,7592442.17,8922123.14,14166519.23
-7730.00,8862179.00,8922123.14,14166519.23
-7360.00,8495908.76,22840635.23,14166519.23
-7570.00,8862179.00,22840635.23,14166519.23
-7570.00,8862179.00,85200000.00,14166519.23
-7590.00,8495908.76,149100000.00,17735814.59
-7640.00,8862179.00,71376985.09,14166519.23
