A,B,C,D
-59.50,75924.42,228406.35,141665.19
-59.60,75924.42,228406.35,141665.19
-59.70,75924.42,471199.63,141665.19
-59.80,75924.42,471199.63,141665.19
-59.90,75924.42,1006527.02,177358.15
-59.90,75924.42,546480.04,141665.19
-60.20,75924.42,89221.23,141665.19
-60.30,75924.42,89221.23,141665.19
-60.40,75924.42,89221.23,141665.19
-65.20,97047.61,89221.23,141665.19
-62.80,75924.42,228406.35,141665.19
-63.90,75924.42,228406.35,141665.19
-63.90,75924.42,627336.78,141665.19
-64.40,75924.42,1115265.39,177358.15
-64.40,97047.61,471199.63,141665.19
-65.10,97047.61,546480.04,141665.19
-62.50,97047.61,228406.35,141665.19
-62.70,75924.42,228406.35,141665.19
-62.70,75924.42,228406.35,141665.19
-62.70,75924.42,228406.35,141665.19
-63.10,75924.42,546480.04,141665.19
-63.30,75924.42,546480.04,141665.19
-63.40,75924.42,1115265.39,177358.15
-63.60,75924.42,627336.78,141665.19
-63.80,75924.42,228406.35,141665.19
-63.80,75924.42,89221.23,141665.19
-63.80,75924.42,89221.23,141665.19
-68.40,75924.42,89221.23,141665.19
-66.20,75924.42,228406.35,141665.19
-67.80,75924.42,228406.35,141665.19
-67.80,75924.42,713769.85,141665.19
-67.90,75924.42,9372000000.00,177358.15
-68.20,81567.70,627336.78,141665.19
-68.30,75924.42,627336.78,141665.19
-65.50,75924.42,228406.35,141665.19
-65.80,75924.42,228406.35,141665.19
-66.10,75924.42,228406.35,141665.19
-66.20,75924.42,228406.35,141665.19
-66.30,97047.61,627336.78,141665.19
-66.50,112154.22,627336.78,141665.19
-66.60,75924.42,9372000000.00,177358.15
-66.60,75924.42,713769.85,141665.19
-66.80,75924.42,228406.35,141665.19
-67.00,75924.42,89221.23,141665.19
-67.60,75924.42,89221.23,141665.19
-72.10,84959.09,89221.23,141665.19
-69.40,75924.42,228406.35,141665.19
-71.70,75924.42,228406.35,141665.19
-71.70,84959.09,805779.25,141665.19
-71.80,84959.09,11928000000.00,177358.15
-71.90,88621.79,627336.78,141665.19
-72.10,97047.61,627336.78,141665.19
-68.40,97047.61,228406.35,141665.19
-69.00,84959.09,228406.35,141665.19
-69.00,75924.42,228406.35,141665.19
-69.30,75924.42,228406.35,141665.19
-70.30,75924.42,627336.78,141665.19
-70.30,112154.22,627336.78,141665.19
-70.40,75924.42,11928000000.00,177358.15
-70.90,75924.42,805779.25,141665.19
-71.10,84959.09,228406.35,141665.19
-71.20,75924.42,228406.35,141665.19
-71.30,75924.42,89221.23,141665.19
-77.30,88621.79,89221.23,141665.19
-73.60,84959.09,228406.35,141665.19
-75.70,88621.79,228406.35,141665.19
-75.70,88621.79,4224500000.00,141665.19
-75.90,84959.09,14768000000.00,177358.15
-76.40,88621.79,713769.85,141665.19
-76.90,88621.79,713769.85,141665.19
-72.20,84959.09,228406.35,141665.19
-72.40,84959.09,471199.63,141665.19
-72.60,75924.42,471199.63,141665.19
-73.50,97047.61,228406.35,141665.19
-74.10,84959.09,713769.85,141665.19
-74.30,84959.09,713769.85,141665.19
-74.80,92555.80,14768000000.00,177358.15
-74.90,84959.09,4224500000.00,141665.19
-75.00,84959.09,228406.35,141665.19
-75.10,84959.09,228406.35,141665.19
-75.10,96761.13,89221.23,141665.19
-82.50,92555.80,89221.23,141665.19
-79.20,88621.79,228406.35,141665.19
-80.70,97047.61,401495.54,141665.19
